product,type,subtype1,subtype2,measurement_unit,price_per_unit,bulk_density,price_per_ton,pickup_address,supplier_address,,,,,,,,,,,,,,,,,
ЩПС,C5,ТУ,0-40,куб,"518,4","1,62","320,00",Эркеля,"60.742788,28.847913",,,,,,,,,,,,,,,,,
ЩПС,С1,,0-40,куб,"842,4","1,62","520,00",Эркеля,"60.742788,28.847913",,,,,,,,,,,,,,,,,
ЩПС,С6,,0-20,куб,"1153,4","1,58","730,00",Эркеля,"60.742788,28.847913",,,,,,,,,,,,,,,,,
ЩПС,С7,,0-20,куб,"1182,6","1,62","730,00",Эркеля,"60.742788,28.847913",,,,,,,,,,,,,,,,,
Отсев,2 класс,,0-5,куб,296,"1,48","200,00",Эркеля,"60.742788,28.847913",,,,,,,,,,,,,,,,,
Щебень,гранитный,,5-20,куб,"1590,4","1,42","1120,00",Красновское,"61.006312,29.283779",,,,,,,,,,,,,,,,,
Щебень,гранитный,,20-40,куб,"1015,3","1,43","710,00",Красновское,"61.006312,29.283779",,,,,,,,,,,,,,,,,
Щебень,гранитный,,25-60,куб,"959,1","1,39","690,00",Красновское,"61.006312,29.283779",,,,,,,,,,,,,,,,,
Щебень,гранитный,,40-70,куб,"986,7","1,43","690,00",Красновское,"61.006312,29.283779",,,,,,,,,,,,,,,,,
ЩПС,,ТУ,0-40,куб,400,"1,6","250,00",Красновское,"61.006312,29.283779",,,,,,,,,,,,,,,,,
Отсев,,,0-5,куб,"177,6","1,48","120,00",Красновское,"61.006312,29.283779",,,,,,,,,,,,,,,,,
Песок,сеяный,средний,"2-2,5",куб,630,,,ЛСР Воронцовское,"60.314277, 29.897736",,,,,,,,,,,,,,,,,
Песок,карьерный,средний,"2-2,5",куб,490,,,ЛСР Воронцовское,"60.314277, 29.897736",,,,,,,,,,,,,,,,,
Песок,карьерный,сильноводопроницаемый,"1,5-2",куб,420,,,ЛСР Воронцовское,"60.314277, 29.897736",,,,,,,,,,,,,,,,,
Песок,карьерный,обогащенный,"1,5-2",куб,430,,,ЛСР Воронцовское,"60.314277, 29.897736",,,,,,,,,,,,,,,,,
Песок,строительны,обогащенный средний,"2-2,5",куб,650,,,ЛСР Воронцовское,"60.314277, 29.897736",,,,,,,,,,,,,,,,,
Песок,Для строительных работ,,,куб,620,,,ЛСР 33-й км,"59.907663, 30.862184",,,,,,,,,,,,,,,,,
Песок,Для строительных работ,обогащенный,,куб,760,,,ЛСР 33-й км,"59.907663, 30.862184",,,,,,,,,,,,,,,,,
Песок,Для строительных работ,сильноводопроницаемый,,куб,660,,,ЛСР Брусова гора 2,"59.907663, 30.862184",,,,,,,,,,,,,,,,,
Песок,Для строительных работ,слабоводопроницаемый,,куб,480,,,ЛСР Брусова гора 2,"59.907663, 30.862184",,,,,,,,,,,,,,,,,
Песок,Для строительных работ,водопроницаемый,,куб,610,,,ЛСР Брусова гора 2,"59.907663, 30.862184",,,,,,,,,,,,,,,,,
Песок,Для строительных работ,обогащенный,,куб,750,,,ЛСР Брусова гора 2,"59.907663, 30.862184",,,,,,,,,,,,,,,,,
Песок,Для строительных работ,обогащенный средний,"2-2,5",куб,850,,,ЛСР Брусова гора 2,"59.907663, 30.862184",,,,,,,,,,,,,,,,,
Песок,нефильтрующий,,,куб,450,,,ЛСР Брусова гора 2,"59.907663, 30.862184",,,,,,,,,,,,,,,,,
